Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jite
Fullerite-C50,2801.60,-14.8%,46086,2783.30,2919.20,1163.88,4560.49
Fullerite-C60,381.39,+14.6%,53270,437.00,254.38,725.83,336.80
Fullerite-C70,328.95,+12.8%,80098,362.89,266.79,17.24,411.99
Fullerite-C72,2508.09,+19.6%,72723,2152.11,2459.00,346.52,3834.77
Fullerite-C84,523.46,+52.8%,61439,473.54,315.91,1805.99,709.50
Fullerite-C320,53857.79,+0.3%,14329,53765.27,47529.97,76429.89,60541.31
Fullerite-C540,25183.55,-20.1%,8284,25268.56,38275.46,3550.50,41327.55
,,,,,,,
Hybrid Polymers,,,,,,,
C3-FTM Acid,3186287.80,-12.1%,132,3173815.31,3344999.91,0.00,2547325.04
Carbon-86 Epoxy Resin,1029928.39,+82.9%,0,1174770.31,2388406.59,0.00,1029928.39
Fullerene Intercalated Graphite,1449.03,+147.3%,0,2026.89,4291.48,0.00,1449.03
Fulleroferrocene,1244.49,+0.4%,56542,1223.77,1160.73,0.00,1402.46
Graphene Nanoribbons,68424.73,-5.0%,0,24682.77,63929.12,0.00,68424.73
Lanthanum Metallofullerene,4471.19,+27.5%,0,2072.47,7267.35,0.00,4471.19
Methanofullerene,12209.52,+6.4%,0,9577.01,10451.55,0.00,12209.52
PPD Fullerene Fibers,7803.60,-95.5%,0,8900.98,9682.97,0.00,7803.60
Scandium Metallofullerene,37478.02,+20.1%,0,40759.99,44995.51,0.00,37478.02
,,,,,,,
Moon Raw Materials,,,,,,,
Atmospheric Gases,142.19,-8.6%,398019,146.66,125.41,91.74,183.14
Cadmium,2081.86,-13.5%,597701,2007.38,2314.96,1269.14,2440.00
Caesium,1164.87,+54.4%,23894,1213.11,894.40,0.00,1059.36
Chromium,1914.96,+30.3%,102607,2064.38,1862.40,2668.36,2106.66
Cobalt,532.73,+22.0%,167119,629.92,306.65,49.32,604.13
Dysprosium,18973.51,-94.7%,0,11090.16,39799.92,200000.00,18973.51
Evaporite Deposits,551.92,-36.1%,472847,575.49,185.96,238.67,657.76
Hafnium,709.63,-29.5%,412531,709.63,485.33,739.98,1032.18
Hydrocarbons,156.48,+27.8%,136701,186.47,214.57,117.73,161.57
Mercury,2452.46,-38.7%,451632,2452.46,1820.04,1091.53,2956.94
Neodymium,17749.35,-88.7%,365586,18605.68,14784.71,2000.00,18000.78
Platinum,2707.08,+17.8%,211186,2792.75,2151.13,1174.79,3197.42
Promethium,19799.72,-98.7%,103017,19446.49,14774.34,0.00,15286.72
Scandium,508.89,+33.6%,211342,555.02,518.16,305.69,671.40
Silicates,589.34,+7.7%,459696,612.65,457.10,50.37,573.25
Technetium,32744.28,-8.4%,79225,32735.90,16845.55,2252.45,34756.42
Thulium,1107.89,-54.7%,0,825.73,732.59,0.00,1107.89
Titanium,1044.40,-4.3%,56298,879.23,1663.34,567.06,970.89
Tungsten,1116.61,-73.0%,0,2126.78,697.76,208.03,1116.61
Vanadium,1950.64,-47.2%,188510,2022.65,326.09,594.57,1053.25
,,,,,,,
Processed Materials,,,,,,,
Sulfuric Acid,1319.34,-54.5%,261711,1262.88,1209.65,1157.89,1421.78
Silicon Diborite,961.34,-16.8%,98700,1086.26,867.28,386.50,729.46
Ceramic Powder,867.39,-94.1%,108431,1311.71,897.22,731.18,727.16
Carbon Polymers,752.71,-46.9%,130461,1101.03,799.78,101.45,995.16
Crystallite Alloy,2328.35,-14.1%,86564,2331.04,2638.31,2151.54,2068.81
Fernite Alloy,1099.89,-95.5%,120726,1420.58,1543.29,930.73,925.45
Titanium Chromide,2494.19,-98.1%,61061,2733.03,1772.43,4499.99,2137.60
Rolled Tungsten Alloy,3131.35,-13.8%,57114,3156.29,1199.86,1174.00,2027.04
Hexite,1348.50,-96.6%,194536,2511.71,863.10,3064.08,2996.96
Caesarium Cadmide,2602.64,-98.2%,82300,3285.85,103.32,4499.99,1997.08
Solerium,2347.80,+27.8%,0,3697.56,554.44,0.00,2347.80
Platinum Technite,16523.19,-63.7%,66271,5526.95,16523.19,73.13,21933.26
Vanadium Hafnite,1805.12,+66.2%,326881,1797.86,1189.08,1480.99,2389.59
Prometium,11119.43,-59.5%,0,4023.92,5159.08,0.00,11119.43
Hyperflurite,8737.28,-94.3%,0,7065.50,7501.37,42684.55,8737.28
Ferrofluid,12111.79,-14.1%,41244,12111.79,46627.53,0.00,11412.87
Dysporite,12961.90,+15.7%,0,14817.12,42919.30,0.00,12961.90
Neo Mercurite,9005.84,-77.8%,47603,12285.86,3545.74,9400.00,12457.28
Fluxed Condensates,7603.29,-94.1%,0,3545.89,1345.92,0.00,7603.29
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,7359.66,+20.4%,331,7119.50,23715.14,60902.36,8297.85
Capacitor Console,16028265.79,-4.8%,77,15931092.37,14611279.08,10942859.17,16548531.59
Conductive Thermoplastic,23474.63,+23.1%,184,23990.68,9136.36,3786.78,14033.26
Current Pump,20798.83,+44.2%,94,20798.83,60098.81,3917.74,52798.18
Drone Transceiver,3605.03,+1.3%,768,3605.03,20355.62,3167.74,5793.79
Enhanced Ward Console,16818720.80,-4.9%,57,16973898.37,15037183.60,7070353.40,19513930.06
Impetus Console,8749.44,-34.8%,101,10389.98,6513.29,5006.24,38752.02
Intact Armor Plates,21971291.72,-4.4%,195,22206524.16,20201733.22,16904651.21,22222527.19
Intact Shield Emitter,986806.47,-19.7%,62,1026959.02,1124092.34,105754.82,987880.22
Interface Circuit,51779.10,-8.6%,405,56563.38,55517.55,345876.10,89854.44
Logic Circuit,152336.60,-14.7%,824,147627.72,239560.11,52472.01,177638.83
Lorentz Fluid,1368.12,+9.7%,149,1501.11,3414.45,2573.07,6721.60
Micro Circuit,5655.62,-93.2%,337,4122.93,10518.16,2174.35,8797.70
Nanite Compound,45669.33,+9.5%,114,53031.67,543.55,97378.26,121218.85
Power Circuit,1640869.39,+12.7%,542,1659462.93,1832478.38,1250155.89,1954344.60
Power Conduit,19944.40,-93.0%,189,21370.64,4546.92,1869.29,8829.89
Single-crystal Superalloy I-beam,6562477.25,+0.6%,212,6705863.84,4678838.20,6876334.14,7098513.81
Telemetry Processor,19672.54,-54.3%,51,21984.46,2333.06,22002.59,54847.99
Trigger Unit,12831.80,-0.9%,184,13563.08,2297.74,1604.45,15341.54
,,,,,,,
Booster Gases,,,,,,,
Amber Mykoserocin,1753.74,+2.6%,0,235.80,2108.95,0.00,1753.74
Azure Mykoserocin,816.28,+83.8%,3522,1097.52,3826.58,3301.71,4218.32
Celadon Mykoserocin,5092.89,-80.4%,0,300.00,8868.70,0.00,5092.89
Golden Mykoserocin,2830.02,+76.7%,0,1999.27,2937.59,0.00,2830.02
Lime Mykoserocin,7286.05,-52.0%,14161,2517.29,8024.02,1.00,2739.42
Malachite Mykoserocin,14224.24,+100.0%,0,0.00,0.00,0.00,14224.24
Vermillion Mykoserocin,2626.95,-4.8%,11675,2674.14,3052.26,7732.16,5345.09
Viridian Mykoserocin,7638.62,-79.1%,0,9919.56,20000.00,0.00,7638.62
Amber Cytoserocin,66794.45,-77.5%,0,60507.25,74401.60,11.13,66794.45
