Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Crystalline Carbonide Armor Plate,4739.43,-0.9%,23108,4630.08,5762.52,8246.42,4709.85
Deflection Shield Emitter,20959.00,+17.0%,17413,21025.40,19800.33,2325.00,21819.45
Electrolytic Capacitor Unit,26472.99,+13.3%,16698,27241.68,20898.36,2644.68,22064.84
Emp Pulse Generator,16978.09,-34.8%,1994,12789.38,20520.68,6460.90,11095.28
Fernite Carbide Composite Armor Plate,5933.85,+11.2%,187294,5949.57,5971.26,5492.05,4812.07
Fusion Reactor Unit,31896.25,+6.2%,548,32065.98,37142.11,43098.70,33752.70
Fusion Thruster,11425.03,+21.5%,864,12285.79,54535.98,2600.00,12563.57
Gravimetric Sensor Cluster,14494.62,+1.4%,5915,14347.12,15381.79,20464.56,12676.00
Graviton Pulse Generator,18806.50,-36.5%,11860,14086.28,22886.44,25000.00,16171.61
Graviton Reactor Unit,33480.05,+1.5%,1347,33480.05,40410.65,27789.20,32077.94
Ion Thruster,17200.48,-36.0%,1732,15407.83,20829.71,62018.81,13975.08
Ladar Sensor Cluster,13949.35,+0.1%,13649,13966.32,12647.00,33186.16,10802.99
Laser Focusing Crystals,22880.12,+61.7%,5330,22980.82,23605.84,5140.00,18347.04
Linear Shield Emitter,14858.69,-0.5%,998,14858.69,19530.50,48203.40,15080.11
Magnetometric Sensor Cluster,13964.29,-4.1%,3717,13991.85,17463.47,8466.87,13170.50
Magpulse Thruster,14239.91,+14.3%,1505,14027.20,16406.49,9643.04,13368.80
Nanoelectrical Microprocessor,20380.05,+3.0%,65636,20780.40,19596.95,13479.49,19972.44
Nanomechanical Microprocessor,19507.43,+0.3%,64493,19525.02,19085.71,6828.93,19365.38
Nuclear Pulse Generator,12823.13,-42.2%,7523,14578.18,13339.60,1221.93,9975.30
Nuclear Reactor Unit,32779.47,-0.1%,1660,32820.24,30397.74,65307.69,33250.07
Oscillator Capacitor Unit,22940.08,-12.8%,4543,23193.58,20055.92,9950.43,21120.38
Particle Accelerator Unit,18559.85,+7.7%,2690,18123.61,19113.40,1650.04,16358.84
Photon Microprocessor,19759.67,+0.7%,16173,19659.21,19289.50,15778.82,18510.99
Plasma Pulse Generator,13654.69,-43.9%,3479,13654.69,14897.53,1600.00,10242.91
Plasma Thruster,17031.39,-1.4%,8297,17116.15,17343.83,25666.28,15931.12
Pulse Shield Emitter,16647.67,-40.9%,4133,16635.36,18054.27,58531.25,17335.68
Quantum Microprocessor,19206.91,+2.0%,8498,19443.03,18863.93,2762.50,18046.60
Radar Sensor Cluster,13191.72,-43.6%,2131,13234.52,17128.54,8000.00,13049.42
Scalar Capacitor Unit,21788.65,+5.5%,3024,22358.35,22167.71,1512.50,21831.92
Superconductor Rails,16767.26,-33.3%,3082,17041.53,15984.70,25037.01,14555.24
Sustained Shield Emitter,18519.13,-2.9%,5526,18493.35,20856.49,57099.64,17041.13
Tesseract Capacitor Unit,23917.69,-2.2%,6387,24253.96,20395.30,15345.93,25036.14
Thermonuclear Trigger Unit,24756.69,+27.7%,14302,23928.88,33844.58,10927.52,20867.48
Titanium Diborite Armor Plate,5296.63,-3.9%,30936,5060.95,6280.21,600.00,4802.88
Tungsten Carbide Armor Plate,3998.72,+28.3%,23955,4039.74,7886.07,7984.55,4064.74
,,,,,,,
Tech 2 Production,,,,,,,
Construction Blocks,681.17,+18.9%,812872,841.26,490.13,544.61,942.10
Electronic Parts,809.62,+2.1%,6791399,801.21,815.74,704.00,799.82
Guidance Systems,3316.12,+56.1%,301784,3397.94,542.05,231.90,1930.94
Hydrogen Batteries,586.27,+138.8%,800522,1162.38,577.10,591.39,501.20
Miniature Electronics,465.79,+930.5%,1764385,4493.79,431.97,88.97,617.43
Rocket Fuel,998.99,+350.4%,1292484,1159.21,786.62,31765.97,841.67
Superconductors,3732.86,-71.2%,35956,1862.67,5574.76,1071.85,1328.27
Transmitter,3151.43,+58.7%,18017,2941.91,3717.58,50.00,1165.70
,,,,,,,
Ancient Salvaged Materials,,,,,,,
Cartesian Temporal Coordinator,361.88,-3.3%,1016,350.00,404.17,11.30,145.43
Central System Controller,1241.46,-67.8%,164,400.00,5000.03,10.33,2030.35
Defensive Control Node,12061.09,+1.2%,2096,12186.73,4710.95,5670.83,6746.07
Electromechanical Hull Sheeting,266.39,-29.4%,66955,229.61,299.80,71.75,365.80
Emergent Combat Analyzer,915.72,+9.3%,981,1001.00,509.00,1692.60,262.34
Emergent Combat Intelligence,9702.39,+4.1%,1031,10068.05,2214.08,1338.89,2387.94
Fused Nanomechanical Engines,943.09,-47.0%,4291,957.83,606.28,20008.20,539.29
Heuristic Selfassemblers,714.73,-60.8%,3224,343.50,804.00,10722.46,360.72
Jump Drive Control Nexus,827.92,-42.0%,188,497.62,2542.67,3398.78,2573.66
Melted Nanoribbons,4911874.60,+1.8%,3167,5000038.11,4500590.39,3226959.50,5318127.35
Modified Fluid Router,10622.41,-52.4%,25970,9519.36,15660.50,2981.29,19657.32
Neurovisual Input Matrix,288.97,+3.8%,7428,300.00,247.55,3266.15,439.14
Powdered C-540 Graphite,310.19,-35.5%,13176,241.31,599.98,10.63,325.68
Resonance Calibration Matrix,955.10,+4.9%,747,1002.00,800.79,10.82,1125.27
Thermoelectric Catalysts,4982.11,+0.4%,542,5078.20,6484.17,27170.00,4786.83
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,34357226.42,-62.2%,0,17080235.93,6671971.33,0.00,34357226.42
Intact Electromechanical Component,24203164.59,-96.7%,0,10828637.72,10001707.00,0.00,24203164.59
Intact Hull Section,63942270.42,-6.2%,0,72555555.89,70200000.00,0.00,63942270.42
Intact Power Cores,28503101.92,-47.4%,0,22500065.00,10001707.00,0.00,28503101.92
Intact Thruster Sections,35256424.13,-100.0%,0,14901871.93,4289760.14,0.00,35256424.13
Intact Weapon Subroutines,43656007.85,-54.2%,0,14115555.44,10001707.00,0.00,43656007.85
Malfunctioning Armor Nanobot,7142924.73,+0.8%,21,7142924.73,4585904.49,0.00,11776820.42
Malfunctioning Electromechanical Component,4176471.34,-11.1%,17,4176471.34,2186333.67,0.00,6420528.95
Malfunctioning Hull Section,19177224.09,-29.6%,0,18242500.00,27909182.01,0.00,19177224.09
Malfunctioning Power Cores,3025001.14,-17.4%,20,3025001.14,6688000.38,20000000.00,7843606.41
Malfunctioning Thruster Sections,6160000.11,+5.5%,25,6160000.11,1835000.67,0.00,8637827.51
Malfunctioning Weapon Subroutines,10054546.61,-20.4%,22,10000000.96,5569230.98,20000000.00,19140513.38
Wrecked Armor Nanobot,18523.25,-46.0%,43,19875.00,369956.52,2002500.00,35200.33
Wrecked Electromechanical Component,33243.94,-69.9%,33,35324.19,48954.79,3057777.78,14544.30
Wrecked Hull Section,2370975.73,-15.6%,0,3718071.40,7448888.67,26571428.57,2370975.73
Wrecked Power Cores,93568.00,-89.3%,58,94332.35,417523.17,1047692.31,39502.95
Wrecked Thruster Sections,51272.63,-41.4%,39,29785.45,139137.75,1676666.67,25810.66
Wrecked Weapon Subroutines,257455.52,+22.2%,49,252866.01,521507.07,1108000.00,367441.15
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,11268.54,-11.3%,402,11320.84,5719.64,750250.12,10009.68
Datacore - Electronic Subsystems Engineering,11749.68,-57.4%,775,11688.05,6431.04,404766.67,5532.85
Datacore - Engineering Subsystems Engineering,5716.35,-12.5%,208,4851.72,7380.62,4138.60,6515.92
Datacore - Offensive Subsystems Engineering,10660.80,-6.2%,425,9673.84,27176.04,1707214.29,11136.48
Datacore - Propulsion Subsystems Engineering,7712.50,-35.2%,613,7548.27,167227.80,556431.37,5413.59
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,498429.20,-34.9%,270,508343.30,356181.77,305804.60,700113.60
Amarr Hybrid Tech Decryptor,66693.56,-77.5%,62,38854.19,112666.67,5399999.80,128300.20
Caldari Hybrid Tech Decryptor,3744488.89,-7.0%,111,3681738.39,4068422.97,2637440.00,4311803.90
Gallente Hybrid Tech Decryptor,47274.63,-57.7%,166,23585.74,117504.20,300005.00,215029.39
Minmatar Hybrid Tech Decryptor,158892.59,-14.3%,81,101028.76,490080.00,1000002.73,83872.98
,,,,,,,
Fullerenes,,,,,,,
Fullerite-C28,3335.32,-40.0%,38734,3346.23,2696.53,1318.72,5705.69
Fullerite-C32,8086.68,+2.2%,24219,8267.76,6341.62,2689.68,13078.30
Fullerite-C50,3743.85,-25.2%,84243,3577.64,3412.92,1163.88,5400.84
Fullerite-C60,294.30,+1.9%,30621,300.05,265.13,62.37,328.37
Fullerite-C70,110.94,-9.9%,28075,99.29,197.68,271.71,310.41
Fullerite-C72,2695.89,-25.8%,43104,2776.21,2647.44,375.00,3836.31
Fullerite-C84,187.81,-60.1%,87057,277.15,155.01,1805.99,209.11
Fullerite-C320,51706.67,+16.0%,14135,51706.67,53680.87,76429.89,52854.35
Fullerite-C540,27124.74,+43.8%,9189,26814.80,40645.86,3550.50,35624.10
,,,,,,,
Hybrid Polymers,,,,,,,
C3-FTM Acid,2362255.10,+18.5%,0,3121077.39,3354216.78,0.00,2362255.10
Carbon-86 Epoxy Resin,1017000.00,+0.0%,1327,1017000.00,1441090.91,0.00,1084803.03
Fullerene Intercalated Graphite,4742.77,-57.8%,671,2423.23,9000.00,0.00,1082.55
Fulleroferrocene,1520.18,-1.5%,22310,1520.18,1353.03,0.00,1452.77
Graphene Nanoribbons,73275.32,+7.8%,4658,73275.32,64999.03,0.00,81911.98
Lanthanum Metallofullerene,5037.48,-0.7%,2395,5037.48,3879.89,0.00,5595.64
Methanofullerene,9286.55,-8.5%,16804,9286.55,10850.97,0.00,11585.57
