Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Enhanced Ward Console,14859055.41,-6.5%,264,15213533.48,14353333.36,0.00,14000000.00
Impetus Console,7554.43,+25.4%,156,5730.09,22200.67,5004.11,4100.08
Intact Armor Plates,19970133.23,+4.4%,208,20559016.14,18573113.33,18533399.99,20127404.23
Intact Shield Emitter,429844.58,-8.8%,181,398001.00,589062.49,0.00,530870.23
Interface Circuit,106670.05,-7.8%,908,104549.53,116989.75,116006.18,132886.44
Logic Circuit,310613.87,-10.6%,983,305830.27,317656.48,279500.13,268430.58
Lorentz Fluid,1342.62,+14.5%,327,1105.34,2000.00,0.00,6516.75
Micro Circuit,10313.16,-8.4%,1894,9084.66,11115.13,6223.11,3995.50
Nanite Compound,109105.98,-20.2%,242,114218.44,45004.24,150001.01,119672.78
Power Circuit,3219868.32,+2.9%,1451,3253013.97,3037686.04,3176923.08,3049207.28
Power Conduit,4576.12,-25.0%,477,4265.74,5000.00,2007.01,5385.81
Single-crystal Superalloy I-beam,7047525.18,+0.6%,337,7155696.56,6405200.49,7325000.01,7707070.72
Telemetry Processor,18368.72,-20.9%,159,20349.43,2324.97,0.00,23665.56
Trigger Unit,23653.86,-67.8%,1325,24757.63,22685.77,1600.00,10540.24
,,,,,,,
Booster Gases,,,,,,,
Amber Mykoserocin,3902.00,+25.6%,5400,0.00,0.00,0.00,3902.00
Azure Mykoserocin,4000.00,-7.1%,13717,0.00,0.00,4000.00,0.00
Celadon Mykoserocin,5003.07,-64.5%,4580,0.00,0.00,0.00,5003.07
Golden Mykoserocin,0.00,+100.0%,4237,0.00,0.00,0.00,0.00
Lime Mykoserocin,2250.00,+46.2%,4286,2250.00,0.00,0.00,0.00
Malachite Mykoserocin,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Vermillion Mykoserocin,2401.47,-22.7%,17630,2424.32,178.42,0.00,0.00
Viridian Mykoserocin,0.00,+100.0%,1316,0.00,0.00,0.00,0.00
Amber Cytoserocin,71745.65,+8.3%,3452,0.00,0.00,0.00,71745.65
Azure Cytoserocin,50000.00,-26.4%,10129,0.00,50000.00,0.00,0.00
Celadon Cytoserocin,83800.90,-12.0%,8667,0.00,0.00,0.00,83800.90
Golden Cytoserocin,0.00,+100.0%,0,0.00,0.00,0.00,0.00
Lime Cytoserocin,60000.00,-59.0%,9335,0.00,0.00,0.00,60000.00
Malachite Cytoserocin,50731.73,+97.1%,1543,0.00,0.00,0.00,50731.73
Vermillion Cytoserocin,47501.00,-38.4%,7077,0.00,0.00,0.00,47501.00
Viridian Cytoserocin,0.00,+100.0%,8497,0.00,0.00,0.00,0.00
