Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Tungsten,875.24,-43.9%,600,875.24,0.00,0.00,1281.02
Vanadium,2084.59,-15.4%,88225,2089.85,26.84,0.00,1028.13
,,,,,,,
Processed Materials,,,,,,,
Sulfuric Acid,600.01,+85.7%,34400,600.01,0.00,0.00,1261.56
Silicon Diborite,1077.24,-6.0%,0,0.00,0.00,0.00,1077.24
Ceramic Powder,1109.69,+42.0%,282299,1149.94,899.22,0.00,1630.34
Carbon Polymers,1395.88,-1.4%,33929,1400.00,2.51,0.00,1540.94
Crystallite Alloy,2401.34,+0.1%,14669,2997.00,1977.30,0.00,2671.36
Fernite Alloy,1411.04,+11.6%,58089,1411.04,0.00,0.00,1680.22
Titanium Chromide,2529.21,-80.5%,0,0.00,0.00,0.00,2529.21
Rolled Tungsten Alloy,3329.66,-36.8%,0,0.00,0.00,0.00,3329.66
Hexite,40.01,+8265.1%,187,0.00,40.01,0.00,3008.56
Caesarium Cadmide,1719.00,+3.1%,35600,1719.00,0.00,0.00,2106.19
Solerium,2600.00,-49.6%,14600,2600.00,0.00,0.00,1932.89
Platinum Technite,18547.80,-82.2%,0,0.00,0.00,0.00,18547.80
Vanadium Hafnite,1743.75,-27.3%,0,0.00,0.00,0.00,1743.75
Prometium,11761.11,-97.3%,0,0.00,0.00,0.00,11761.11
Hyperflurite,10225.43,-95.5%,0,0.00,0.00,0.00,10225.43
Ferrofluid,12869.23,-4.2%,0,0.00,0.00,0.00,12869.23
Dysporite,14749.90,-9.2%,0,0.00,0.00,0.00,14749.90
Neo Mercurite,11651.18,-33.0%,0,0.00,0.00,0.00,11651.18
Fluxed Condensates,8132.45,-70.7%,0,0.00,0.00,0.00,8132.45
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,16031.99,-93.2%,468,5043.34,17143.79,0.00,10125.03
Capacitor Console,12129529.05,+11.1%,50,12720912.87,11796875.64,0.00,13787454.80
Conductive Thermoplastic,27423.67,+32.7%,109,12003.00,51511.29,3001.07,15122.27
Current Pump,5325.34,-0.5%,166,14001.57,5111.11,0.00,76402.06
Drone Transceiver,2407.89,+19.6%,174,3602.96,2005.01,3001.07,7001.02
Enhanced Ward Console,12380387.34,-3.0%,75,11856401.85,12570927.52,0.00,15295751.05
Impetus Console,13111.86,+25.8%,111,7613.06,17190.79,5005.03,157258.42
Intact Armor Plates,18890576.16,+4.5%,89,18840229.43,19232075.24,17463695.48,21862345.96
Intact Shield Emitter,579534.29,-18.9%,105,620000.00,564819.48,0.00,790850.89
Interface Circuit,15837.31,+436.1%,869,71832.87,3727.28,333336.66,95012.52
Logic Circuit,132195.67,+11.6%,845,154264.97,128418.49,75401.03,169664.16
Lorentz Fluid,860.90,+24.5%,79,1500.09,11.90,3001.07,6620.06
Micro Circuit,265.82,+116.1%,758,1621.95,137.93,2101.03,6907.24
Nanite Compound,47447.19,+66.9%,28,43783.54,64300.00,0.00,101494.05
Power Circuit,2051949.73,+20.5%,1036,2296974.00,1983952.98,3400000.00,2333485.99
Power Conduit,6196.23,+82.1%,32,9585.80,5000.00,2007.05,6556.20
Single-crystal Superalloy I-beam,6650687.14,+6.1%,230,6938449.56,6543153.42,4982368.32,7285109.66
Telemetry Processor,3038.67,+114.4%,109,10879.22,2333.02,0.00,30537.69
Trigger Unit,4013.67,-46.6%,35,5529.07,2021.01,1603.00,17441.59
,,,,,,,
Booster Gases,,,,,,,
Amber Mykoserocin,3134.45,-97.7%,0,0.00,0.00,0.00,3134.45
Azure Mykoserocin,3986.51,+0.3%,7931,2390.24,0.00,3986.91,4032.83
Celadon Mykoserocin,5100.24,-65.2%,0,0.00,0.00,0.00,5100.24
Golden Mykoserocin,2830.02,+76.6%,0,0.00,0.00,0.00,2830.02
Lime Mykoserocin,23834.00,-64.5%,0,0.00,0.00,0.00,23834.00
Malachite Mykoserocin,11000.00,+0.0%,0,0.00,0.00,0.00,11000.00
Vermillion Mykoserocin,2150.23,+27.1%,6666,506.96,5000.00,0.00,6898.50
Viridian Mykoserocin,7995.48,-42.9%,0,0.00,0.00,0.00,7995.48
Amber Cytoserocin,66195.23,+17.4%,0,0.00,0.00,0.00,66195.23
Azure Cytoserocin,45000.00,-14.8%,542,0.00,0.00,45000.00,50000.04
Celadon Cytoserocin,83136.05,-14.8%,0,0.00,0.00,0.00,83136.05
Golden Cytoserocin,108899.00,+0.0%,0,0.00,0.00,0.00,108899.00
Lime Cytoserocin,101059.92,-98.8%,0,0.00,0.00,0.00,101059.92
Malachite Cytoserocin,75017.24,+33.3%,0,0.00,0.00,0.00,75017.24
Vermillion Cytoserocin,66000.00,-27.3%,200,66000.00,0.00,0.00,80015.06
Viridian Cytoserocin,72461.96,-31.0%,0,0.00,0.00,0.00,72461.96
,,,,,,,
Tech 2 Production,,,,,,,
Construction Blocks,506.00,-4.5%,1723257,481.59,511.79,568.94,509.69
Electronic Parts,806.11,-1.1%,6451877,794.70,812.25,705.04,806.36
Guidance System,659.95,-1.6%,97836,649.79,780.61,186.60,381.25
Hydrogen Batteries,592.32,+1.0%,795533,799.60,586.59,590.00,499.68
Miniature Electronics,404.30,+91.7%,229066,751.26,396.37,24.12,418.42
Rocket Fuel,682.04,-6.7%,307800,587.96,739.35,770.14,599.58
Super Conductors,995.63,+0.3%,148116,1000.00,150.21,1161.46,1022.19
Transmitter,1209.32,-28.7%,3389,888.12,1502.99,412.88,390.00
